date,ticker,signal_return,rec_holding_days,buy,significance
2018-01-02,ABST,-0.29000000,9,false,86.39380000
2018-01-02,BLUE,-4.48000000,80,true,91.09290000
2018-01-02,WMS,0.84000000,3,false,73.12100000
2018-01-02,BLBD,-21.56000000,35,false,71.82730000
2018-01-02,IMMR,55.71000000,80,true,87.44560000
2018-01-02,STRL,-23.65000000,23,true,79.64730000
2018-01-02,GFF,6.55000000,21,false,82.93720000
2018-01-02,LAUR,-7.88000000,66,true,75.90530000
2018-01-02,UFCS,-3.91000000,5,true,73.14520000
2018-01-02,RWLK,-2.22000000,33,false,91.75760000
2018-01-02,AZRE,-0.41000000,50,true,86.27060000
2018-01-02,BEDU,11.46000000,43,false,79.06140000
2018-01-02,APHA,-34.06000000,41,true,96.10390000
2018-01-02,NEOG,0.86000000,3,false,82.90000000
2018-01-02,MRAM,-20.45000000,21,false,96.10390000
2018-01-02,GTS,-0.94000000,27,true,91.39490000
2018-01-02,FARM,-0.79000000,6,false,74.15510000
2018-01-02,EXPR,3.17000000,3,false,80.57220000
2018-01-02,CKH,-3.31000000,22,true,81.44620000
2018-01-02,GEO,-3.86000000,2,true,78.13720000
2018-01-02,FOOD,-4.76000000,66,true,90.75080000
2018-01-02,ADMS,-3.31000000,23,true,95.92210000
2018-01-02,CMCM,4.36000000,1,false,84.51660000
2018-01-02,CELH,-1.39000000,1,false,70.79160000
2018-01-02,EBF,1.42000000,3,false,71.98940000
2018-01-02,FLWS,-3.21000000,3,false,74.32000000
2018-01-02,GEN,-47.02000000,40,false,92.96460000
2018-01-02,ET,2.05000000,4,false,82.59680000
2018-01-02,TUSK,12.66000000,20,true,82.66670000
2018-01-02,CAL,3.55000000,6,false,74.11600000
2018-01-02,RKDA,-4.64000000,18,false,82.66670000
2018-01-02,BPMC,10.62000000,61,true,88.97940000
2018-01-02,RGNX,-19.86000000,3,true,73.48450000
2018-01-02,FENG,1.77000000,1,false,72.03340000
2018-01-02,XTNT,2.93000000,86,false,75.62410000
2018-01-02,EC,-9.94000000,2,false,74.55110000
2018-01-02,SO,-2.23000000,81,true,77.94700000
2018-01-02,ARAY,-8.89000000,7,false,82.05790000
2018-01-02,SCWX,0.00000000,5,false,77.55150000
2018-01-02,LZB,-0.32000000,3,false,88.30450000
2018-01-02,AQUA,0.21000000,1,false,71.07510000
2018-01-02,PSMT,3.75000000,21,false,83.20590000
2018-01-02,CRMT,-2.72000000,6,false,93.16670000
2018-01-02,SIRI,24.18000000,44,true,74.04970000
2018-01-02,ARWR,30.38000000,2,true,70.05280000
2018-01-02,ANGO,2.09000000,1,false,70.61110000
2018-01-02,OESX,10.21000000,77,false,87.74130000
2018-01-02,JW.A,1.58000000,1,false,83.42140000
2018-01-02,LPTH,0.87000000,32,false,93.44770000
2018-01-02,ACB,-18.25000000,38,true,82.92310000
2018-01-02,CYH,-7.14000000,53,true,76.61740000
2018-01-02,VAR,-0.30000000,1,false,77.45260000
2018-01-02,XRAY,26.74000000,69,false,71.62500000
2018-01-02,MDF,11.21000000,24,false,78.13650000
2018-01-02,AZZ,-0.88000000,2,false,70.88610000
2018-01-02,CAMP,-2.16000000,1,false,87.78220000
2018-01-02,VSAT,-0.38000000,6,true,80.02670000
2018-01-02,YTRA,10.43000000,60,false,87.66820000
2018-01-02,LMB,-0.43000000,1,true,82.83410000
